experiment_id,Ax,Ay,Az
0,-2.2464397,0.00055318006,0.0030968653
1,-1.9689263,-0.84304965,-0.5588082
2,-1.9685237,-0.8438558,-0.27921608
3,-1.9677423,-0.8441324,-2.7513357e-05
4,-1.9682719,-0.8438558,0.27777484
5,-1.968183,-0.8438682,0.55603236
6,-1.9682708,-0.56232315,-0.83707714
7,-1.9683338,-0.56278867,-0.5579639
8,-1.9682078,-0.5620207,-0.27906537
9,-1.9684225,-0.5617813,-0.0002669768
10,-1.9678177,-0.5625998,0.27790076
11,-1.9680572,-0.5619578,0.55623364
12,-1.9678807,-0.56232315,0.8349939
13,-1.9682337,-0.28079054,-0.83700174
14,-1.9672883,-0.28046337,-0.55740964
15,-1.9654118,-0.2801599,-0.2780198
16,-1.966961,-0.2777663,-0.0012877929
17,-1.9677547,-0.28028685,0.27627614
18,-1.967793,-0.2807152,0.55623364
19,-1.9676288,-0.28041276,0.83486795
20,-1.9676784,0.00123338,-0.83690166
21,-1.9679189,0.0021034994,-0.55565804
22,-1.9684855,0.0051525296,-0.28016153
23,-1.9674906,0.00224181,0.0009045361
24,-1.9692669,0.0017886875,0.2773723
25,-1.9698335,0.002052923,0.55667543
26,-1.967893,0.0017257251,0.8347544
27,-1.9677042,0.2820724,-0.83662397
28,-1.9684349,0.2818711,-0.557485
29,-1.9713581,0.28381056,-0.27733856
30,-1.9686363,0.28208476,-2.7412775e-06
31,-1.9675276,0.28213534,0.2794005
32,-1.9677795,0.2819836,0.5563854
33,-1.9676288,0.28211057,0.83465326
34,-1.9679942,0.5620423,-0.8371906
35,-1.9679054,0.5622941,-0.55722076
36,-1.9668981,0.56214345,-0.27857408
37,-1.9695188,0.5637939,0.00027491245
38,-1.9680314,0.56195354,0.2782156
39,-1.9679189,0.562193,0.5567002
40,-1.9682213,0.5618276,0.8349681
41,-1.9678549,0.84246635,-0.5577121
42,-1.9679818,0.84224033,-0.2790148
43,-1.9679437,0.8426057,0.0005773383
44,-1.968082,0.8423157,0.27806488
45,-1.9677795,0.84227747,0.5558817
46,-1.6868517,-1.4068705,-0.27921608
47,-1.6869911,-1.4068829,0.00016137375
48,-1.6868517,-1.4072359,0.27759835
49,-1.6869911,-1.1253636,-0.8375065
50,-1.6869023,-1.1255773,-0.558128
51,-1.68718,-1.1259685,-0.27895185
52,-1.6867259,-1.125855,0.00037503295
53,-1.6871294,-1.1258044,0.27812785
54,-1.6866629,-1.1260438,0.55606955
55,-1.6868517,-1.1257291,0.83501863
56,-1.6867259,-0.84374225,-1.1159767
57,-1.6868517,-0.8439941,-0.8367623
58,-1.6870407,-0.84390634,-0.5572837
59,-1.6858062,-0.84477544,-0.27895185
60,-1.6902537,-0.845242,0.0006650727
61,-1.6873431,-0.84412,0.27872032
62,-1.6867383,-0.84391874,0.5566125
63,-1.6865617,-0.84418297,0.8347668
64,-1.6870283,-0.84390634,1.1132885
65,-1.6868652,-0.56238616,-1.1156619
66,-1.6865999,-0.5620084,-0.8360945
67,-1.6861715,-0.56190723,-0.55635166
68,-1.6861715,-0.5646538,-0.27669656
69,-1.6868012,-0.56217146,-0.0028752703
